,0,1
0,tnM37Gdwr5RaFkDRXBHavg,Literally the most friendly staff I've ever encountered. I don't know everyone's name but it's always pleasant when I come in!
1,tnM37Gdwr5RaFkDRXBHavg,"I really want to like this place because I the food is decent and so is the service. However, the wooden tables are shellacked in a cheap coating that creates a sticky feel when hot and management can't (doesn't) get rid of it. It feels pretty gross when your hands touch the table. So instead I order take out and the order is missing items. I think they try hard but they just can't get it together. Perhaps paper tablecloths might work better to make the place more appealing."
2,tnM37Gdwr5RaFkDRXBHavg,Ordered a 12 oz sirloin with garlic mash and steamed broccoli. The broccoli was lightly steamed with absolutely no type of seasoning to it at all. The shed potatoes had absolutely no butter at all. The steak... I ordered it well and I received it not well at all. It was very rubbery and was not tasty at all. Blood was coming out of it so I decided to not eat anymore due to this. I am going to speak with the manager concerning this because this food was awful
3,tnM37Gdwr5RaFkDRXBHavg,"#ShitholeThis place is inefficiently ran. There is NO hostess for the second time. I was here last in middle of January and the same thing. Had to wait and wait and wait. Ridiculous. Finally someone who isn't a host took it upon his hands to figure out seating between the 2 separate customers, including myself.This place is absolutely a shithole. New management needs to come in asap."
4,tnM37Gdwr5RaFkDRXBHavg,"Just got back from breakfast with the Easter Bunny. I purchased tickets for $15 bucks online the night before. It was from 9am to 11am. This was the best childrens event i have ever attended. We were seated as soon as we walked in. The Easter walked around the whole time. There was face painting. coloring books, egg hunt and unlimited breakfast food. The staff was fast and polite and the manger walked around and made sure everyone was happy. The buffet had eggs, hash browns, sausage links and patties, french toast, pancakes and bacon. I cant wait for the next event. No lines No crowds they sell a limited amount of tickets! Highly recommend!"
5,tnM37Gdwr5RaFkDRXBHavg,"I have been to that branch of Applebee's few times in the past and the service was always bad.The food was ok but nothing really special about it.Last Friday when I came again during the afternoon when the place wasn't busy, I stepped into the restaurant the  staff and the host completely ignored me and were busy talking to each other.I have been waiting for few minutes until a family came into the restaurant and the host gave them his full attention right a way.I have no clue why the host ghosted me but now I know I shouldn't get back to a place who disrespects his clients.Obviously I stepped out right after the incident."
6,tnM37Gdwr5RaFkDRXBHavg,I know it's Sunday and I know you close in a half an hour but the food was terrible. The spinach tasted old and the pasta was over cooked and waitress was rushing to go home. This is the reason I stop coming to big chain restaurants. Never again
7,tnM37Gdwr5RaFkDRXBHavg,"The only thing that saves this place for me is the friendly staff. The food is horrendous here. This is the second time I go here and they bring me a raw steak or burger. I like my meat medium, but apparently the cooks in the back don't know what the hell medium is. My burger was so raw it was trying to eat the lettuce. This place has failed me way too many times. At conception this place was awesome, but like most Applebee's they let themselves go. My party of 10 and I will never eat here again. It's a shame because their staff was awesome, but someone needs to fire that cook."
8,tnM37Gdwr5RaFkDRXBHavg,"This is by far the slowest Applebees ever..Ordered appetizers for kids simple Mozzarella sticks took 20 mins my Cesar salad took just as long..entrees well I had to remind waitress and also speak with Manager about my order now we are about 45 mins sitting with no refill on drinks or even an acknowledgement..when entrees finally arrive it was unsatisfying, food was not hot and plated as if they rushed (makes you think would the cook or wait staff eat this stuff?) Very disappointed"
9,tnM37Gdwr5RaFkDRXBHavg,"I went to Applebees with my wife last Saturday at 12pm on August 24th. From the moment we sat down I knew we should have exited the place. Before I start talking about the recent experience we had, I want to say that up until a year ago the Applebees in Throggs Neck was clean and the service was good. Well things sure have changed. I should have realized that the place at 12pm on a Saturday should have been at least 1/3 occupied. At the time only two other customers were in it. Sitting down I noted the table was extremely sticky. A total turn off. I kindly asked our waitress if she could wipe the table down. Her response was all the tables are like that and she couldn't do anything about it. Ok  I said to myself. I didn't want to upset my wife so I tried to make the best of it.  Going through the menu, I was happy to see that they had Sam Adam's Oktoberfest clearly featured. I requested that. She then asked if we were ready to order. I asked for a steak sandwich which the waitress abruptly asked me where I saw that on the menu. I politely answered that I took that as a giving. I then requested the Bourbon  steak and a hero roll to make a sandwich myself. She replied that we cannot do that, I said ok, give me the bourbon steak with Fries. She said she couldn't do that and I would only get red potatoes. I then said, just give me a cheeseburger and fries. At this point it was about the cold Oktoberfest beer I was waiting on. She came back to the table and said they don't have Sam Adams Oktoberfest and only some Summer ale that I don't like. I then said to my wife lets go. I will never return to Applebees again. So sad what happened to this place."
10,tnM37Gdwr5RaFkDRXBHavg,"Well I ordered the salmon and rack of ribs with baked potato, the salmon was ok little over cooked and the ribs were dry, and crunchy not good. I was skeptical to send it back so I just ate it. Never again.it was not that packed but they took a while to bring food. And it was freezing in here. Server was nice."
11,tnM37Gdwr5RaFkDRXBHavg,"I'm so very disappointed every time I order the same dish, it comes out different, it tastes different every time and it's very disappointing.   On top of tasting different it's always missing something lacking flavor I don't know if they have a huge turn around in the kitchen but it is very disappointing.   This used to be my go to place and I don't know if it will be again.  The girls are so friendly and service is good with the girls but the food is lackluster.  I'm even sorry for posting this review but that's how upset I am.   My husband ordered the whiskey burger and even that tasted different.  I don't know what's going on."
12,tnM37Gdwr5RaFkDRXBHavg,We stopped by today before shopping and we were very pleased. A nice gentleman greater is at the door and walked us to a table immediately. A nice young lady (Laud) took out order and was very sweet. She brought us our beverages and later on brought us our meal. She came by our table a few times to see if everything was alright. I was very pleased with the food and the surroundings. We will be coming back frequently. Even as we left the same gentleman that greeted us at the door came to the door to ask us if everything was fine. It's so nice to be treated in such a kind manner. Thank you so much.
13,tnM37Gdwr5RaFkDRXBHavg,"Probably the worst Applebee's I've ever been too, and I NEVER go to Applebee's because everything sucks! The food, the drinks it's all crap! I went today with my grandma and we waited almost an hour for shrimp and fries. Out waitress never asked us how the food was or if we wanted another refill on our beverages. She came over to us and just dropped the bill off, didn't ask if we wanted more food, or anything. I then asked for food to go, and it took almost 40 minutes for our to go food. Then, after I asked about where's the food she hands us the food and says they ran out of fries so they gave us mash. We were never asked if we wanted something else, they just gave us mash. Then, the shrimps we ordered to go, only had six where, the shrimp I ate at the restaurant had about 10-12. I will never go back here! Customer service sucks! Food sucks!!"
14,tnM37Gdwr5RaFkDRXBHavg,I came into Applebee's after we saw a commercial with some new menu items they have. We went in today around 3:30 and it was definitely a bit crowded for a Tuesday afternoon. Our waitress Caitlyn was a sweetheart she was super attentive. Now the food on the other hand was Terrible!!! When the waitress brought our food out I couldn't even eat due to it looking completely different from what the menu shows. I only gave it 2 stars due to our waitress was great.
15,tnM37Gdwr5RaFkDRXBHavg,I wish I could give no stars  I had went on Saturday night 1/12/19.  Food took forever to come. I ordered my burger well done. Suffered bad indigestion after eating. Woke up the next morning with food poisoning  DO NOT EAT HERE
16,tnM37Gdwr5RaFkDRXBHavg,Today was the second coming to this apple bee's the first time wasnt a good experience the waiter  didnt bring us plates or our drinks we had to ask for them mean while the next table  she was attending after us  got they're stuff  immediately but  we gave it another shot this time the waiter was a sweet heart she introduce her self her name was Dorothy she checked up on us to see if everything was okay  she even asked if i wanted a refill her customer care service was 10/10 10 golden stars im only giving this a 4 cause of our first experience .
17,tnM37Gdwr5RaFkDRXBHavg,"This spot is low key , clean , serves pretty good on point drinks a lot better then coop city spot"
18,tnM37Gdwr5RaFkDRXBHavg,The food and service is always great but there's always a long line. Be prepared to wait at least 30 mins. But after your seated food comes out fast and the drinks are strong. The 2 for $20 is my go too.
19,tnM37Gdwr5RaFkDRXBHavg,Overall good service. The staff was attentive. My only issue is that my steak was medium rare rather than medium. Better than most Applebee's in the Bronx.
20,tnM37Gdwr5RaFkDRXBHavg,"Ok, I gave this place a chance actually a few chances the last 4 visits have not been very pleasant. Twice we were unable to be seated promptly because the tables are broken, the last visit prior to today a fight broke out and the staff was unable to properly handle it, picture this: as soon as we walked up to the receptionist we were informed they needed a few minutes to ensure people's safety  now talk about inviting. Needless to say we turned around and ran out the door. Today was the last straw.... we walk in 15 minutes to 9 pm and ask for a table. The guy says we can sit next to the bar and I explained (because apparently he couldn't see) that I had a child with me and I'd rather sit in one of the many empty tables by the window to which he responded that they weren't sitting anyone there ‍‍‍‍ no reason they just weren't. And here we are today me leaving this location hungry/unsatisfied and or unhappy. Way to go Applebee's for another satisfied customer. Management, you really have to do something at this rate you will go out of business. Might as well turn the place into a bar stop serving food and only furnish the place with stools being that the tables seem to be disposable here."
